time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,t_go,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
37.407028,70.787369,11.276427,-4.982474,-3.197646,-4.267544,0.004876,56.940240,-3.050874,0.114772,-3.549444,-3.521569,-0.138494,20.566878,19.925224,5.097246,30.750110,-29.035328,-0.907125,7.378658,-3.209342,-3.495657,-0.017526,-0.725351,-0.234508,-0.008574,-0.087202,0.933111,-0.022563,0,follow,,20.566878,0.837135,0.318337,0,,,
37.456988,70.574150,11.020864,-4.981824,-3.203666,-4.209126,0.003667,56.762987,-3.226480,0.106805,-3.551212,-3.519786,-0.153023,20.484852,19.842757,5.088629,30.667910,-29.090625,-1.017638,7.348216,-3.181217,-3.432161,-0.018176,0.562496,1.269937,-0.012999,-0.100702,0.902375,-0.012255,0,follow,,20.484852,0.787737,0.284043,0,,,
37.506925,70.440544,10.862645,-4.981412,-3.208086,-4.173793,0.002865,56.585249,-3.402374,0.098164,-3.553090,-3.517891,-0.166608,20.524670,19.886176,5.079576,30.419101,-29.309304,-1.128795,7.364337,-3.216646,-3.446650,-0.018588,-0.708579,-0.289781,-0.008240,-0.115196,0.883003,-0.020482,0,follow,,20.524670,0.760234,0.264910,0,,,
37.556947,70.253052,10.642992,-4.980757,-3.214925,-4.126167,0.001603,56.408032,-3.577549,0.088948,-3.555076,-3.515883,-0.179166,20.484391,19.847125,5.069706,30.278465,-29.419055,-1.227913,7.349933,-3.208834,-3.412097,-0.019243,0.156249,0.691045,-0.013103,-0.129461,0.842929,-0.024393,0,follow,,20.484391,0.721683,0.238504,0,,,
37.607046,70.118835,10.487353,-4.980149,-3.220036,-4.093300,0.000826,56.229471,-3.753839,0.079123,-3.557171,-3.513763,-0.190620,20.526135,19.892863,5.059271,30.024161,-29.639364,-1.325156,7.366895,-3.243514,-3.428860,-0.019851,-0.693606,-0.335254,-0.012169,-0.133738,0.813454,-0.016333,0,follow,,20.526135,0.697263,0.221146,0,,,
37.657009,69.903725,10.240413,-4.979049,-3.228474,-4.043017,-0.000417,56.051954,-3.928871,0.068870,-3.559377,-3.511529,-0.200899,20.448023,19.815149,5.047919,29.932660,-29.697043,-1.405357,7.338164,-3.213355,-3.372682,-0.020951,0.603186,1.123571,-0.022001,-0.135829,0.774244,-0.024114,0,follow,,20.448023,0.657396,0.193624,0,,,
37.707097,69.768974,10.087404,-4.978363,-3.233878,-4.012790,-0.001188,55.872959,-4.105125,0.058116,-3.561694,-3.509179,-0.209938,20.491297,19.862707,5.036479,29.673899,-29.917891,-1.486147,7.355786,-3.247364,-3.391746,-0.021637,-0.680183,-0.381287,-0.013714,-0.138412,0.754555,-0.018981,0,follow,,20.491297,0.636133,0.177810,0,,,
37.756971,69.579987,9.874702,-4.977456,-3.241836,-3.972389,-0.002673,55.695662,-4.279456,0.047110,-3.564123,-3.506712,-0.217684,20.453873,19.827120,5.024566,29.525639,-30.027936,-1.551262,7.342627,-3.237867,-3.363150,-0.022544,0.189933,0.571926,-0.018148,-0.141591,0.707448,-0.028903,0,follow,,20.453873,0.605767,0.156297,0,,,
37.807060,69.444809,9.723615,-4.976727,-3.247380,-3.944900,-0.003614,55.516663,-4.455206,0.035719,-3.566664,-3.504128,-0.224087,20.497727,19.875417,5.012445,29.264194,-30.247379,-1.613679,7.360512,-3.271307,-3.383935,-0.023273,-0.668792,-0.415716,-0.014582,-0.133544,0.678390,-0.024510,0,follow,,20.497727,0.587223,0.141855,0,,,
37.856941,69.228180,9.483160,-4.975372,-3.256090,-3.903334,-0.005134,55.338831,-4.629536,0.024189,-3.569318,-3.501424,-0.229109,20.422484,19.801066,4.999562,29.165052,-30.305455,-1.655867,7.332993,-3.239477,-3.333315,-0.024628,0.636588,1.012401,-0.027084,-0.132153,0.635137,-0.023876,0,follow,,20.422484,0.556604,0.119538,0,,,
37.907044,69.092728,9.333474,-4.974554,-3.261384,-3.879325,-0.006325,55.159261,-4.805290,0.012408,-3.572086,-3.498600,-0.232719,20.467436,19.850595,4.986962,28.899702,-30.524634,-1.698381,7.351324,-3.272485,-3.355395,-0.025446,-0.660163,-0.441590,-0.016365,-0.134895,0.593076,-0.032144,0,follow,,20.467436,0.541055,0.106650,0,,,
37.957114,68.902969,9.124644,-4.973468,-3.268461,-3.847766,-0.007850,54.981537,-4.978942,0.000680,-3.574969,-3.495654,-0.234893,20.431828,19.817099,4.974148,28.745133,-30.633264,-1.723181,7.338918,-3.261949,-3.330241,-0.026532,0.210733,0.503087,-0.021715,-0.121385,0.553474,-0.033107,0,follow,,20.431828,0.519113,0.089486,0,,,
38.006957,68.767502,8.976027,-4.972674,-3.273081,-3.826570,-0.008981,54.801716,-5.154340,-0.011179,-3.577968,-3.492585,-0.235619,20.477472,19.867321,4.961495,28.476824,-30.851028,-1.744749,7.357499,-3.294749,-3.353335,-0.027326,-0.655998,-0.461886,-0.015879,-0.111312,0.517204,-0.027096,0,follow,,20.477472,0.505832,0.077442,0,,,
38.056902,68.550804,8.738853,-4.971319,-3.279906,-3.795102,-0.010866,54.623182,-5.328163,-0.022875,-3.581083,-3.489390,-0.234893,20.404575,19.795444,4.948444,28.370694,-30.908461,-1.744848,7.330879,-3.262472,-3.305658,-0.028681,0.645527,0.953546,-0.027103,-0.102371,0.477751,-0.029754,0,follow,,20.404575,0.484103,0.059513,0,,,
38.107147,68.415398,8.590888,-4.970473,-3.283892,-3.777087,-0.012142,54.442724,-5.503532,-0.034545,-3.584317,-3.486069,-0.232719,20.451202,19.846619,4.935928,28.098692,-31.125461,-1.744981,7.349806,-3.295141,-3.329420,-0.029527,-0.653367,-0.475258,-0.016928,-0.097523,0.444343,-0.029410,0,follow,,20.451202,0.472864,0.048543,0,,,
38.156909,68.225800,8.384054,-4.969300,-3.289276,-3.753766,-0.013986,54.264335,-5.676547,-0.045856,-3.587669,-3.482619,-0.229109,20.417230,19.814716,4.923444,27.938102,-31.231925,-1.727055,7.337978,-3.284371,-3.306156,-0.030700,0.215387,0.465280,-0.023451,-0.099495,0.403941,-0.033987,0,follow,,20.417230,0.456987,0.034561,0,,,
38.207037,68.090439,8.236759,-4.968635,-3.292876,-3.738082,-0.015206,54.084515,-5.850600,-0.056966,-3.591141,-3.479038,-0.224087,20.463237,19.865034,4.911669,27.665999,-31.444423,-1.705483,7.356580,-3.316911,-3.330589,-0.031365,-0.650799,-0.488649,-0.013304,-0.090241,0.388265,-0.031716,0,follow,,20.463237,0.446874,0.024323,0,,,
38.256986,67.873985,8.001889,-4.967772,-3.298295,-3.714698,-0.017473,53.904944,-6.024046,-0.067698,-3.594734,-3.475325,-0.217684,20.392933,19.795479,4.900074,27.552644,-31.500986,-1.663497,7.330807,-3.284500,-3.285023,-0.032228,0.648222,0.911307,-0.017271,-0.081688,0.358740,-0.036383,0,follow,,20.392933,0.430418,0.009684,0,,,
