time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,prediction_model,estimated_turn_rate,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,intercept_vx,intercept_vy,intercept_vz,intercept_ax,intercept_ay,intercept_az,t_go,guidance_altitude_reference,guidance_closing_speed,trajectory_plan_feasible,planned_closing_speed,planned_max_horizontal_speed,planned_max_vertical_speed,planned_max_horizontal_acceleration,planned_max_vertical_acceleration,uav_yaw,observation_yaw,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
1.046956,-0.060281,0.013080,-0.030975,0.001121,0.014486,-0.004980,92.946984,-18.682917,0.056004,4.295389,2.559225,0.224087,CTRV,0.584169,94.867798,94.867758,0.086979,97.047450,-10.179024,0.504179,-0.672324,4.954592,0.224087,-2.894320,-0.392751,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133199,-0.198364,0.000000,0.000000,-1.057441,0.000000,0.000000,-1.000000,0.005709,0.006126,0.005159,0,takeoff,,94.867798,4.996890,-3.708756,0,,,
1.097069,-0.059547,0.013738,-0.030550,0.001477,0.014828,-0.004625,93.157878,-18.545985,0.066842,4.221290,2.679684,0.217684,CTRV,0.579345,95.047152,95.047102,0.097392,97.061454,-9.940003,0.502210,-0.764543,4.941202,0.217684,-2.862661,-0.442934,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133209,-0.196523,0.000000,0.000000,-1.107441,0.000000,0.000000,-1.000000,0.007157,0.009070,0.009311,0,takeoff,,95.047152,4.995769,-3.618444,0,,,
1.147226,-0.058556,0.014646,-0.030219,0.002084,0.015057,-0.004394,93.357987,-18.408167,0.076908,4.145139,2.796037,0.209938,CTRV,0.570781,95.215871,95.215811,0.107127,97.101476,-9.714060,0.496785,-0.817295,4.932751,0.209938,-2.815522,-0.466497,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133212,-0.194702,0.000000,0.000000,-1.157441,0.000000,0.000000,-1.000000,0.008125,-0.001157,-0.000563,0,takeoff,,95.215871,4.994467,-3.526927,0,,,
1.197351,-0.057840,0.015229,-0.029981,0.002424,0.015278,-0.004139,93.564924,-18.257176,0.087053,4.067283,2.908128,0.200899,CTRV,0.568285,95.389290,95.389218,0.117034,97.093377,-9.468657,0.488850,-0.927104,4.913296,0.200899,-2.792155,-0.526860,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133221,-0.192736,0.000000,0.000000,-1.207441,0.000000,0.000000,-1.000000,0.006162,0.004432,0.007694,0,takeoff,,95.389290,4.993366,-3.435690,0,,,
1.247194,-0.056705,0.016136,-0.029369,0.002985,0.015569,-0.003776,93.763890,-18.103654,0.096452,3.988063,3.015850,0.190620,CTRV,0.560635,95.554417,95.554334,0.125821,97.128852,-9.236335,0.477693,-0.983266,4.902366,0.190620,-2.748438,-0.551253,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133201,-0.190774,0.000000,0.000000,-1.257441,0.000000,0.000000,-1.000000,0.009419,0.003682,0.005072,0,takeoff,,95.554417,4.992027,-3.344088,0,,,
1.297107,-0.056026,0.016734,-0.028810,0.003240,0.015760,-0.003411,93.952467,-17.950315,0.104955,3.907806,3.119143,0.179166,CTRV,0.547798,95.710132,95.710039,0.133765,97.206846,-9.017341,0.463288,-0.985659,4.901885,0.179166,-2.685243,-0.539942,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133196,-0.188835,0.000000,0.000000,-1.307441,0.000000,0.000000,-1.000000,0.006174,0.006808,0.008519,0,takeoff,,95.710132,4.990988,-3.252824,0,,,
1.347190,-0.054949,0.017602,-0.027872,0.003511,0.015966,-0.002829,94.141428,-17.788651,0.113032,3.826823,3.217985,0.166608,CTRV,0.536841,95.864696,95.864593,0.140905,97.271362,-8.790954,0.446248,-1.003509,4.898262,0.166608,-2.629587,-0.538725,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133192,-0.186816,0.000000,0.000000,-1.357441,0.000000,0.000000,-1.000000,0.009290,0.004720,0.011796,0,takeoff,,95.864696,4.989925,-3.162270,0,,,
1.397250,-0.054119,0.018237,-0.027130,0.003980,0.016186,-0.002428,94.333316,-17.615908,0.120710,3.745404,3.312394,0.153023,CTRV,0.532773,96.020689,96.020576,0.147840,97.277014,-8.548163,0.426755,-1.085642,4.880715,0.153023,-2.600311,-0.578400,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133214,-0.184686,0.000000,0.000000,-1.407441,0.000000,0.000000,-1.000000,0.012293,0.005219,0.012966,0,takeoff,,96.020689,4.988727,-3.072677,0,,,
1.447251,-0.052766,0.019241,-0.025705,0.004747,0.016483,-0.001717,94.510329,-17.448740,0.127190,3.663817,3.402417,0.138494,CTRV,0.517827,96.163052,96.162931,0.152894,97.376718,-8.329575,0.404177,-1.058330,4.886710,0.138494,-2.530469,-0.548032,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133190,-0.182652,0.000000,0.000000,-1.457441,0.000000,0.000000,-1.000000,0.012427,0.003912,0.010168,0,takeoff,,96.163052,4.987284,-2.983360,0,,,
1.497253,-0.051928,0.019912,-0.024611,0.005149,0.016621,-0.001239,94.692221,-17.268649,0.133232,3.582308,3.488133,0.123111,CTRV,0.509675,96.308738,96.308609,0.157843,97.420750,-8.093106,0.379454,-1.094236,4.878796,0.123111,-2.486600,-0.557705,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133177,-0.180479,0.000000,0.000000,-1.500000,0.000000,0.000000,-0.851176,0.012149,0.000216,0.013755,0,takeoff,,96.308738,4.986273,-2.896072,0,,,
1.547364,-0.050882,0.020991,-0.022919,0.005655,0.016999,-0.000464,94.858048,-17.096996,0.138045,3.501095,3.569640,0.106969,CTRV,0.492130,96.440429,96.440295,0.160964,97.544361,-7.879247,0.351983,-1.035234,4.891655,0.106969,-2.407329,-0.509469,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133154,-0.178430,0.000000,0.000000,-1.500000,0.000000,0.000000,0.000000,0.008884,0.007283,0.008930,0,takeoff,,96.440429,4.985068,-2.809524,0,,,
