measurement_stamp,receipt_stamp,processed_stamp,published_stamp,source,valid,observation_valid,truth_available,rejection_reason,rgb_raw_stamp,depth_raw_stamp,rgb_receipt_stamp,depth_receipt_stamp,rgb_mapped_stamp,depth_mapped_stamp,rgb_depth_acquisition_skew,pose_history_start_stamp,pose_history_end_stamp,position_source_stamp,position_mapped_stamp,attitude_source_stamp,attitude_mapped_stamp,position_history_start_stamp,position_history_end_stamp,attitude_history_start_stamp,attitude_history_end_stamp,image_clock_offset,px4_clock_offset,px4_clock_reset_count,px4_clock_status,approach_phase,distance_bin,motion_regime,confidence,red_pixel_count,valid_depth_ratio,target_range,view_angle,position_x,position_y,position_z,covariance_xx,covariance_yy,covariance_zz,truth_x,truth_y,truth_z,error_x,error_y,error_z,horizontal_error,position_3d_error,observation_age
1790064240.8186162,1790064240.8274925,1790064240.9245377,1790064240.9245377,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,42.3,42.3,1790064240.8274925,1790064240.8262627,1790064240.8186162,1790064240.8186162,0.0,1790064225.64948,1790064226.6694803,1790064240.885134,1790064226.6694803,1790064240.885134,1790064226.6694803,1790064225.6454802,1790064226.6694803,1790064225.64948,1790064226.6694803,1790064198.5186162,0.5069212913513184,1,OFFSET_OUTLIER,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,52.52221574205982,-4.493202772028534,-0.047802316361263385,nan,nan,nan,nan,nan,0.008876323699951172
1790064240.9186163,1790064240.929533,1790064241.024701,1790064241.024701,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,42.4,42.4,1790064240.929533,1790064240.926117,1790064240.9186163,1790064240.9186163,0.0,1790064225.64948,1790064226.6694803,1790064240.981134,1790064226.6694803,1790064240.985134,1790064226.6694803,1790064225.6454802,1790064226.6694803,1790064225.64948,1790064226.6694803,1790064198.5186162,0.5069212913513184,1,OFFSET_OUTLIER,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,52.80975730589313,-4.774838844089837,-0.04949580993571711,nan,nan,nan,nan,nan,0.010916709899902344
1790064241.0446162,1790064241.084284,1790064241.1244936,1790064241.1244936,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,42.5,42.552,1790064241.027526,1790064241.084284,1790064241.0186162,1790064241.0706162,0.0519999999999996,1790064225.64948,1790064226.6694803,1790064241.085134,1790064226.6694803,1790064241.085134,1790064226.6694803,1790064225.6454802,1790064226.6694803,1790064225.64948,1790064226.6694803,1790064198.5186162,0.5069212913513184,1,OFFSET_OUTLIER,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,53.17029672574724,-5.1269081149365165,-0.049884841808740095,nan,nan,nan,nan,nan,0.03966784477233887
1790064241.2186162,1790064241.2313137,1790064241.3244302,1790064241.3244302,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,42.7,42.7,1790064241.2313137,1790064241.230303,1790064241.2186162,1790064241.2186162,0.0,1790064225.64948,1790064226.6694803,1790064241.2851338,1790064226.6694803,1790064241.2851338,1790064226.6694803,1790064225.6454802,1790064226.6694803,1790064225.64948,1790064226.6694803,1790064198.5186162,0.5069212913513184,1,OFFSET_OUTLIER,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,53.669353469797926,-5.612095487221885,-0.047204983777660886,nan,nan,nan,nan,nan,0.012697458267211914
1790064241.368616,1790064241.4257314,1790064241.4262035,1790064241.4262035,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,42.8,42.9,1790064241.333464,1790064241.4257314,1790064241.3186162,1790064241.4186163,0.10000000000000142,1790064225.64948,1790064226.6694803,1790064241.381134,1790064226.6694803,1790064241.385134,1790064226.6694803,1790064225.6454802,1790064226.6694803,1790064225.64948,1790064226.6694803,1790064198.5186162,0.5069212913513184,1,OFFSET_OUTLIER,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,54.10071114044341,-6.029310435438028,-0.04207600475223757,nan,nan,nan,nan,nan,0.05711531639099121
1790064241.4446163,1790064241.4829144,1790064241.5248604,1790064241.5248604,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,42.9,42.952,1790064241.4270024,1790064241.4829144,1790064241.4186163,1790064241.470616,0.0519999999999996,1790064225.64948,1790064226.6694803,1790064241.485134,1790064226.6694803,1790064241.485134,1790064226.6694803,1790064225.6454802,1790064226.6694803,1790064225.64948,1790064226.6694803,1790064198.5186162,0.5069212913513184,1,OFFSET_OUTLIER,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,54.319354430076736,-6.239975004491803,-0.03858089098931954,nan,nan,nan,nan,nan,0.03829813003540039
1790064241.5686162,1790064241.6236644,1790064241.6243174,1790064241.6243174,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,43.0,43.1,1790064241.52774,1790064241.6236644,1790064241.5186162,1790064241.618616,0.10000000000000142,1790064225.64948,1790064226.6694803,1790064241.5812929,1790064226.6694803,1790064241.5852928,1790064226.6694803,1790064225.6454802,1790064226.6694803,1790064225.64948,1790064226.6694803,1790064198.5186162,0.5069212913513184,1,OFFSET_OUTLIER,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,54.67738194908667,-6.583655038336584,-0.031690755883640426,nan,nan,nan,nan,nan,0.055048227310180664
1790064241.6206162,1790064241.6787822,1790064241.72455,1790064241.72455,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,43.052,43.152,1790064241.5892293,1790064241.6787822,1790064241.5706162,1790064241.6706161,0.10000000000000142,1790064225.64948,1790064226.6694803,1790064241.685293,1790064226.6694803,1790064241.685293,1790064226.6694803,1790064225.6454802,1790064226.6694803,1790064225.64948,1790064226.6694803,1790064198.5186162,0.5069212913513184,1,OFFSET_OUTLIER,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,54.827641347318696,-6.7274146067470495,-0.02843533610501211,nan,nan,nan,nan,nan,0.0581660270690918
1790064241.7186162,1790064241.7294962,1790064241.8244505,1790064241.8244505,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,43.2,43.2,1790064241.7294962,1790064241.728399,1790064241.7186162,1790064241.7186162,0.0,1790064225.64948,1790064226.6694803,1790064241.781293,1790064226.6694803,1790064241.7852929,1790064226.6694803,1790064225.6454802,1790064226.6694803,1790064225.64948,1790064226.6694803,1790064198.5186162,0.5069212913513184,1,OFFSET_OUTLIER,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,55.111302173949554,-6.997985797400157,-0.021797876445251656,nan,nan,nan,nan,nan,0.010879993438720703
1790064241.9186163,1790064241.942391,1790064242.0244355,1790064242.0244355,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,43.4,43.4,1790064241.942391,1790064241.9400656,1790064241.9186163,1790064241.9186163,0.0,1790064225.64948,1790064226.6694803,1790064241.981293,1790064226.6694803,1790064241.985293,1790064226.6694803,1790064225.6454802,1790064226.6694803,1790064225.64948,1790064226.6694803,1790064198.5186162,0.5069212913513184,1,OFFSET_OUTLIER,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,55.69165399247596,-7.548076422605571,-0.006844704922933161,nan,nan,nan,nan,nan,0.02377462387084961
