time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,prediction_model,estimated_turn_rate,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,intercept_vx,intercept_vy,intercept_vz,intercept_ax,intercept_ay,intercept_az,t_go,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
10.291465,18.401211,10.712289,-4.656631,7.047385,-0.019418,-0.186407,53.371054,6.537272,-0.074896,3.612668,-3.456679,-0.209938,CTRV,-0.027289,35.514968,35.218187,4.581735,60.404194,-0.569775,-0.494773,3.418726,-3.648604,-0.209938,-0.099566,-0.093293,0.000000,2.000000,7.354904,-0.815710,-0.186407,-0.126636,-1.185373,0.000000,0.393331,-2.317272,0.213259,0,takeoff,,35.514968,4.859279,2.980960,0,,,
10.341490,18.682344,10.704750,-4.664263,7.062297,-0.110821,-0.178407,53.551956,6.363702,-0.084908,3.608508,-3.461021,-0.200899,CTRV,-0.026494,35.435928,35.138790,4.579355,60.582246,-0.746265,-0.486705,3.420136,-3.647282,-0.200899,-0.096631,-0.090613,0.000000,2.000000,7.341495,-0.877757,-0.178407,-0.268193,-1.240938,0.000000,0.365436,-2.266933,0.197720,0,takeoff,,35.435928,4.811756,2.991085,0,,,
10.391470,19.133436,10.685744,-4.676120,7.083649,-0.252604,-0.166948,53.732104,6.190456,-0.094364,3.604475,-3.465221,-0.190620,CTRV,-0.025690,35.189031,34.889474,4.581756,60.759876,-0.922097,-0.475605,3.421751,-3.645768,-0.190620,-0.093661,-0.087906,0.000000,2.000000,7.318361,-0.927214,-0.166948,-0.462664,-0.989135,0.000000,0.321786,-2.190437,0.170872,0,takeoff,,35.189031,4.735622,3.013485,0,,,
10.441452,19.416138,10.669619,-4.683343,7.095606,-0.338335,-0.160340,53.911694,6.017358,-0.103221,3.600567,-3.469281,-0.179166,CTRV,-0.024897,35.107897,34.807857,4.580122,60.937141,-1.097586,-0.461554,3.423428,-3.644192,-0.179166,-0.090729,-0.085232,0.000000,2.000000,7.299370,-0.984241,-0.160340,-0.379833,-1.140557,0.000000,0.291348,-2.131814,0.163909,0,takeoff,,35.107897,4.692385,3.021643,0,,,
10.491419,19.813004,10.641744,-4.692972,7.110818,-0.454552,-0.151390,54.091582,5.843596,-0.111467,3.596784,-3.473204,-0.166608,CTRV,-0.024126,34.914658,34.612760,4.581505,61.114802,-1.273635,-0.444683,3.425074,-3.642646,-0.166608,-0.087882,-0.082633,0.000000,2.000000,7.277650,-1.032264,-0.151390,-0.434403,-0.960454,0.000000,0.256389,-2.046619,0.154317,0,takeoff,,34.914658,4.632595,3.037174,0,,,
10.541549,20.097187,10.618133,-4.699497,7.120515,-0.534830,-0.145293,54.271726,5.669221,-0.119043,3.593123,-3.476991,-0.153023,CTRV,-0.023369,34.833481,34.531013,4.580454,61.292879,-1.450134,-0.425088,3.426752,-3.641067,-0.153023,-0.085087,-0.080079,0.000000,2.000000,7.258970,-1.085331,-0.145293,-0.373594,-1.061329,0.000000,0.230074,-1.988236,0.154035,0,takeoff,,34.833481,4.593350,3.043679,0,,,
10.591447,20.552578,10.574432,-4.709472,7.133248,-0.657729,-0.136322,54.449954,5.496352,-0.125814,3.589584,-3.480645,-0.138494,CTRV,-0.022586,34.580759,34.275632,4.583658,61.469475,-1.624695,-0.402802,3.428744,-3.639191,-0.138494,-0.082196,-0.077443,0.000000,2.000000,7.235904,-1.125327,-0.136322,-0.461310,-0.799923,0.000000,0.184417,-1.889631,0.133553,0,takeoff,,34.580759,4.530609,3.059386,0,,,
10.641410,20.837494,10.543554,-4.715419,7.139593,-0.731324,-0.131270,54.630117,5.321264,-0.131892,3.586165,-3.484167,-0.123111,CTRV,-0.021871,34.499600,34.193767,4.583527,61.647782,-1.801688,-0.378114,3.430381,-3.637649,-0.123111,-0.079558,-0.075025,0.000000,2.000000,7.217629,-1.174753,-0.131270,-0.365509,-0.988517,0.000000,0.150144,-1.825554,0.124050,0,takeoff,,34.499600,4.495004,3.062822,0,,,
10.691518,21.236700,10.495914,-4.723391,7.146056,-0.830267,-0.124879,54.809397,5.146705,-0.137128,3.582866,-3.487560,-0.106969,CTRV,-0.021142,34.304137,33.996177,4.586262,61.825551,-1.977809,-0.351066,3.432242,-3.635892,-0.106969,-0.076868,-0.072563,0.000000,2.000000,7.154179,-0.855470,-0.231270,0.291715,-2.482922,-2.000000,0.100404,-1.732036,0.108660,0,follow,,34.304137,4.444981,3.070456,0,,,
10.741506,21.522150,10.458890,-4.728856,7.148962,-0.897785,-0.120178,54.987966,4.972524,-0.141503,3.579685,-3.490825,-0.090168,CTRV,-0.020406,34.221409,33.912550,4.587353,62.002901,-2.153260,-0.321838,3.434277,-3.633970,-0.090168,-0.074154,-0.070079,0.000000,2.000000,7.161692,-0.980244,-0.271144,0.150266,-2.495480,-0.797475,0.062555,-1.663674,0.131192,0,follow,,34.221409,4.411859,3.070731,0,,,
