time,uav_x,uav_y,uav_z,uav_vx,uav_vy,target_x,target_y,target_vx,target_vy,distance,intercept_x,intercept_y,t_go,uav_vz,target_z,target_vz,horizontal_distance,vertical_error,intercept_z,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
40.816675,19.948376,185.805679,-4.162341,-0.014055,7.365994,20.000000,204.615606,0.000000,5.000000,19.297765,20.000000,239.448850,6.966649,0.756735,0.149005,0.036859,18.809998,4.311346,0.405789,0.007410,7.699996,0.655714,0.008753,-0.000008,-0.413570,-0.041104,1.330048,-0.348341,0,intercept,1.400000,19.297765,2.473125,2.466974,0,,,
40.866486,19.943417,186.286179,-4.115738,-0.016782,7.443082,20.000000,204.863870,0.000000,5.000000,19.061217,20.000000,239.267058,6.880638,0.732864,0.149959,0.018486,18.577777,4.265697,0.277157,0.008224,7.699996,0.638443,0.016267,-0.000017,-0.345421,-0.036055,1.141349,-0.392375,0,intercept,1.450000,19.061217,2.545440,2.540928,0,,,
40.916561,19.940273,186.587906,-4.087610,-0.018064,7.484764,20.000000,205.114929,0.000000,5.000000,19.005564,20.000000,239.424292,6.861873,0.717444,0.150000,0.000000,18.527119,4.237610,0.150000,0.008704,7.699995,0.617559,0.009611,-0.000011,-0.417686,-0.028293,1.019716,-0.389069,0,intercept,1.500000,19.005564,2.586330,2.582109,0,,,
40.966537,19.935875,187.011948,-4.049592,-0.019455,7.535429,20.000000,205.364545,0.000000,5.000000,18.826871,20.000000,239.350908,6.797273,0.696517,0.149114,-0.018486,18.352709,4.198706,0.023456,0.009434,7.699994,0.599218,0.014596,-0.000017,-0.366816,-0.020303,0.849009,-0.386804,0,intercept,1.550000,18.826871,2.634389,2.630949,0,,,
41.016807,19.932795,187.315628,-4.023524,-0.020107,7.566685,20.000000,205.614878,0.000000,5.000000,18.768668,20.000000,239.502457,6.777516,0.681523,0.147306,-0.036859,18.299373,4.170831,-0.102506,0.009916,7.699994,0.578533,0.009640,-0.000012,-0.413695,-0.014393,0.756532,-0.377860,0,intercept,1.600000,18.768668,2.665399,2.662060,0,,,
41.066545,19.928102,187.802673,-3.983270,-0.020586,7.609368,20.000000,205.860696,0.000000,5.000000,18.523957,20.000000,239.301573,6.688175,0.656834,0.144638,-0.055004,18.058166,4.127907,-0.223240,0.010750,7.699992,0.562191,0.016680,-0.000022,-0.326853,-0.002226,0.628134,-0.402108,0,intercept,1.650000,18.523957,2.704799,2.702281,0,,,
41.116538,19.925362,188.107513,-3.959051,-0.020547,7.631723,20.000000,206.114258,0.000000,5.000000,18.467777,20.000000,239.460182,6.669185,0.641346,0.140995,-0.072810,18.006899,4.100045,-0.344591,0.011192,7.699992,0.541964,0.008832,-0.000013,-0.404528,0.002473,0.543773,-0.389708,0,intercept,1.700000,18.467777,2.726978,2.724492,0,,,
41.166728,19.921835,188.534805,-3.926286,-0.020182,7.658374,20.000000,206.364316,0.000000,5.000000,18.286715,20.000000,239.382039,6.603545,0.620736,0.136520,-0.090168,17.829682,4.062807,-0.458906,0.011837,7.699991,0.525079,0.012906,-0.000019,-0.337710,0.011439,0.449210,-0.380009,0,intercept,1.750000,18.286715,2.751862,2.749766,0,,,
41.216743,19.919474,188.840393,-3.903693,-0.019604,7.674416,20.000000,206.615218,0.000000,5.000000,18.227208,20.000000,239.531678,6.583292,0.606107,0.131186,-0.106969,17.775007,4.034879,-0.573022,0.012232,7.699990,0.505928,0.007902,-0.000012,-0.383017,0.014710,0.382096,-0.366274,0,intercept,1.800000,18.227208,2.767916,2.765803,0,,,
41.266368,19.916012,189.329727,-3.868803,-0.018261,7.695840,20.000000,206.863999,0.000000,5.000000,17.983574,20.000000,239.335004,6.494201,0.582161,0.125089,-0.123111,17.534473,3.993892,-0.674417,0.012933,7.699989,0.491883,0.014017,-0.000023,-0.280902,0.026442,0.302434,-0.386063,0,intercept,1.850000,17.983574,2.786628,2.785033,0,,,
41.316812,19.914072,189.635666,-3.847785,-0.017201,7.706847,20.000000,207.115730,0.000000,5.000000,17.924526,20.000000,239.486356,6.474125,0.567441,0.118147,-0.138494,17.480275,3.965932,-0.778478,0.013273,7.699989,0.474088,0.006794,-0.000012,-0.355887,0.027015,0.265499,-0.368786,0,intercept,1.900000,17.924526,2.797438,2.795838,0,,,
41.366484,19.911728,190.063599,-3.819283,-0.015536,7.719416,20.000000,207.364139,0.000000,5.000000,17.741483,20.000000,239.402324,6.407637,0.548383,0.110568,-0.153023,17.300766,3.929851,-0.869945,0.013776,7.699988,0.460285,0.010071,-0.000018,-0.276072,0.031609,0.204653,-0.340749,0,intercept,1.950000,17.741483,2.808458,2.807117,0,,,
41.416739,19.910267,190.368866,-3.799540,-0.014179,7.726363,20.000000,207.615010,0.000000,5.000000,17.682233,20.000000,239.552464,6.387491,0.534723,0.102234,-0.166608,17.246377,3.901773,-0.961974,0.014048,7.699987,0.444238,0.005444,-0.000010,-0.320937,0.029585,0.162780,-0.341360,0,intercept,2.000000,17.682233,2.815159,2.813808,0,,,
41.466686,19.908333,190.857040,-3.769002,-0.012073,7.735068,20.000000,207.864641,0.000000,5.000000,17.440881,20.000000,239.360359,6.299144,0.513359,0.093309,-0.179166,17.007848,3.862311,-1.035286,0.014552,7.699986,0.433982,0.010081,-0.000019,-0.205113,0.031616,0.122368,-0.342342,0,intercept,2.050000,17.440881,2.821406,2.820418,0,,,
