time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,prediction_model,estimated_turn_rate,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,intercept_vx,intercept_vy,intercept_vz,intercept_ax,intercept_ay,intercept_az,t_go,trajectory_plan_feasible,planned_closing_speed,planned_max_horizontal_speed,planned_max_vertical_speed,planned_max_horizontal_acceleration,planned_max_vertical_acceleration,uav_yaw,observation_yaw,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
27.051995,0.029826,-0.011567,0.079711,-0.004864,0.000158,0.006154,97.558403,12.921248,-0.150000,-2.012558,4.577075,0.000000,CTRV,0.223548,98.382589,98.382321,-0.229711,91.653525,20.888537,-0.150000,-3.793628,3.257052,0.000000,-0.728107,-0.848057,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667944,0.131847,-0.004864,0.000158,0.006154,0.000000,0.000000,0.000000,0.000305,-0.003174,0.005487,0,takeoff,,98.382589,4.997903,1.388597,0,,,
27.101953,0.030278,-0.011636,0.080146,-0.004637,-0.000115,0.006158,97.454273,13.148492,-0.148844,-2.068640,4.552003,0.018486,CTRV,0.229103,98.309085,98.308818,-0.228989,91.410734,21.005859,-0.111871,-3.868789,3.167408,0.018486,-0.725664,-0.886353,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667944,0.134280,-0.004637,-0.000115,0.006158,0.000000,0.000000,0.000000,0.003183,-0.005343,-0.005577,0,takeoff,,98.309085,4.998203,1.436080,0,,,
27.152060,0.030650,-0.011679,0.080347,-0.004376,-0.000426,0.006032,97.347001,13.374949,-0.146765,-2.125895,4.525546,0.036859,CTRV,0.234477,98.233016,98.232753,-0.227112,91.165682,21.119110,-0.073047,-3.941724,3.076168,0.036859,-0.721291,-0.924244,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667954,0.136713,-0.004376,-0.000426,0.006032,0.000000,0.000000,0.000000,0.008565,-0.009159,-0.003483,0,takeoff,,98.233016,4.998622,1.485020,0,,,
27.202044,0.031169,-0.011837,0.080607,-0.004101,-0.000740,0.005906,97.237081,13.599363,-0.143785,-2.184356,4.497621,0.055004,CTRV,0.241102,98.154492,98.154236,-0.224393,90.908640,21.216982,-0.033777,-4.020982,2.971818,0.055004,-0.716513,-0.969469,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667959,0.139131,-0.004101,-0.000740,0.005906,0.000000,0.000000,0.000000,0.002934,-0.006857,0.000066,0,takeoff,,98.154492,4.999117,1.535504,0,,,
27.252010,0.031566,-0.012015,0.080704,-0.003776,-0.001013,0.005773,97.124011,13.822590,-0.139915,-2.244051,4.468136,0.072810,CTRV,0.246812,98.073380,98.073132,-0.220619,90.654809,21.314940,0.005706,-4.093254,2.871458,0.072810,-0.708711,-1.010265,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667977,0.141545,-0.003776,-0.001013,0.005773,0.000000,0.000000,0.000000,0.007737,-0.007453,-0.002176,0,takeoff,,98.073380,4.999662,1.587583,0,,,
27.302006,0.032247,-0.012384,0.080840,-0.003311,-0.001487,0.005739,97.008582,14.042889,-0.135208,-2.305009,4.436996,0.090168,CTRV,0.253981,97.989831,97.989593,-0.216048,90.388496,21.394261,0.045128,-4.172115,2.755622,0.090168,-0.699875,-1.059636,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667981,0.143942,-0.003311,-0.001487,0.005739,0.000000,0.000000,0.000000,0.006081,-0.006869,0.001232,0,takeoff,,97.989831,5.000508,1.641440,0,,,
27.352106,0.032682,-0.012625,0.080928,-0.003027,-0.001576,0.005690,96.888797,14.263830,-0.129620,-2.367256,4.404100,0.106969,CTRV,0.261155,97.902852,97.902626,-0.210548,90.118152,21.468381,0.084318,-4.248760,2.635913,0.106969,-0.688382,-1.109585,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667977,0.146357,-0.003027,-0.001576,0.005690,0.000000,0.000000,0.000000,0.006598,-0.002245,-0.001066,0,takeoff,,97.902852,5.000982,1.696723,0,,,
27.402346,0.033265,-0.012912,0.080903,-0.002498,-0.001712,0.005402,96.765779,14.482999,-0.123223,-2.430814,4.369341,0.123111,CTRV,0.268475,97.812844,97.812631,-0.204127,89.844128,21.533608,0.122998,-4.323729,2.511049,0.123111,-0.674155,-1.160815,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667953,0.148763,-0.002498,-0.001712,0.005402,0.000000,0.000000,0.000000,0.009606,-0.004716,-0.003139,0,takeoff,,97.812844,5.001668,1.753950,0,,,
27.451974,0.033628,-0.013103,0.080784,-0.002201,-0.001924,0.005238,96.640959,14.697755,-0.116140,-2.495703,4.332605,0.138494,CTRV,0.275334,97.721158,97.720959,-0.196924,89.571875,21.591702,0.160847,-4.393839,2.386248,0.138494,-0.657015,-1.209772,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667958,0.151125,-0.002201,-0.001924,0.005238,0.000000,0.000000,0.000000,0.008460,-0.003590,-0.004107,0,takeoff,,97.721158,5.002345,1.812833,0,,,
27.502138,0.034106,-0.013562,0.080405,-0.002000,-0.002215,0.004780,96.511411,14.912917,-0.108267,-2.561936,4.293773,0.153023,CTRV,0.284105,97.625334,97.625152,-0.188672,89.284016,21.628796,0.197778,-4.469950,2.240435,0.153023,-0.636518,-1.269935,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.667940,0.153511,-0.002000,-0.002215,0.004780,0.000000,0.000000,0.000000,0.003797,-0.005379,-0.008181,0,takeoff,,97.625334,5.003075,1.873281,0,,,
