measurement_stamp,receipt_stamp,processed_stamp,published_stamp,source,valid,observation_valid,truth_available,rejection_reason,rgb_raw_stamp,depth_raw_stamp,rgb_receipt_stamp,depth_receipt_stamp,rgb_mapped_stamp,depth_mapped_stamp,rgb_depth_acquisition_skew,pose_history_start_stamp,pose_history_end_stamp,approach_phase,distance_bin,motion_regime,confidence,red_pixel_count,valid_depth_ratio,target_range,view_angle,position_x,position_y,position_z,covariance_xx,covariance_yy,covariance_zz,truth_x,truth_y,truth_z,error_x,error_y,error_z,horizontal_error,position_3d_error,observation_age
1790061714.4507315,1790061714.4531853,1790061715.1044455,1790061715.1044455,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,41.4,41.4,1790061714.4531853,1790061714.4509263,1790061714.4507315,1790061714.4507315,0.0,1790061714.611106,1790061715.0904684,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0024538040161132812
1790061714.5267315,1790061714.5613306,1790061715.2056332,1790061715.2056332,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,41.5,41.452,1790061714.5613306,1790061714.5076144,1790061714.5507314,1790061714.5027313,0.04800000000000182,1790061714.611106,1790061715.1864684,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03459906578063965
1790061714.5767314,1790061714.6060874,1790061715.3103616,1790061715.3103616,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,41.552,41.5,1790061714.6060874,1790061714.5595646,1790061714.6027315,1790061714.5507314,0.0519999999999996,-inf,inf,TERMINAL_APPROACH,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029356002807617188
1790061714.6507313,1790061714.655085,1790061715.4045186,1790061715.4045186,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,41.6,41.6,1790061714.655085,1790061714.6532538,1790061714.6507313,1790061714.6507313,0.0,-inf,inf,TERMINAL_APPROACH,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.004353761672973633
1790061714.7267315,1790061714.7543118,1790061715.5053625,1790061715.5053625,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,41.652,41.7,1790061714.7025719,1790061714.7543118,1790061714.7027314,1790061714.7507315,0.04800000000000182,1790061715.3896666,1790061715.4856665,TERMINAL_APPROACH,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02758026123046875
1790061714.9767315,1790061715.0090013,1790061715.604668,1790061715.604668,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,41.9,41.952,1790061714.9612224,1790061715.0090013,1790061714.9507315,1790061715.0027313,0.0519999999999996,1790061715.3896666,1790061715.5896664,TERMINAL_APPROACH,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03226971626281738
1790061715.0267315,1790061715.054701,1790061715.7051299,1790061715.7051299,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,41.952,42.0,1790061715.0076425,1790061715.054701,1790061715.0027313,1790061715.0507314,0.04800000000000182,1790061715.3896666,1790061715.6856666,TERMINAL_APPROACH,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0279695987701416
1790061715.2267315,1790061715.2574768,1790061715.804265,1790061715.804265,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,42.2,42.152,1790061715.2574768,1790061715.2087474,1790061715.2507315,1790061715.2027314,0.04800000000000182,1790061715.7519047,1790061715.7908432,TERMINAL_APPROACH,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.030745267868041992
1790061715.3027315,1790061715.3150675,1790061715.906317,1790061715.906317,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,42.252,42.252,1790061715.3150675,1790061715.3020062,1790061715.3027315,1790061715.3027315,0.0,1790061715.8306162,1790061715.8866162,TERMINAL_APPROACH,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.012336015701293945
1790061715.3767314,1790061715.3995523,1790061716.00479,1790061716.00479,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,42.3,42.352,1790061715.357636,1790061715.3995523,1790061715.3507314,1790061715.4027314,0.0519999999999996,1790061715.8306162,1790061715.9882443,TERMINAL_APPROACH,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02282094955444336
1790061715.4767315,1790061715.5099778,1790061716.1049569,1790061716.1049569,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,42.4,42.452,1790061715.455987,1790061715.5099778,1790061715.4507315,1790061715.5027313,0.0519999999999996,-inf,inf,TERMINAL_APPROACH,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03324627876281738
1790061715.5267315,1790061715.5590231,1790061716.2047272,1790061716.2047272,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,42.452,42.5,1790061715.5094366,1790061715.5590231,1790061715.5027313,1790061715.5507314,0.04800000000000182,1790061716.0922084,1790061716.1906643,TERMINAL_APPROACH,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03229165077209473
1790061715.5767314,1790061715.6090658,1790061716.3080618,1790061716.3080618,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,42.5,42.552,1790061715.560456,1790061715.6090658,1790061715.5507314,1790061715.6027315,0.0519999999999996,1790061716.2308612,1790061716.2868612,TERMINAL_APPROACH,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.032334327697753906
