time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,prediction_model,estimated_turn_rate,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,t_go,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
8.795549,0.017391,0.030213,-4.032111,0.002545,-0.013212,-0.755364,47.817166,11.604009,0.144742,3.805212,-3.243511,0.072810,CTRV,-0.060432,49.358052,49.181004,4.176853,75.335834,-17.398430,0.727225,8.000000,0.002545,-0.013212,-0.755364,0.000000,0.000000,0.000000,0.049144,-0.018774,0.745344,0,takeoff,,49.358052,5.057764,-2.995235,0,,,
8.844728,0.017706,0.029281,-4.068101,0.005553,-0.013839,-0.715769,48.007932,11.440436,0.147444,3.796353,-3.253875,0.055004,CTRV,-0.059190,49.508051,49.328250,4.215545,75.511085,-17.577825,0.587478,8.000000,0.005553,-0.013839,-0.715769,0.000000,0.000000,0.000000,0.056318,-0.005678,0.690714,0,takeoff,,49.508051,5.045998,-2.993413,0,,,
8.895435,0.018236,0.028716,-4.092619,0.007866,-0.014052,-0.689256,48.197458,11.277050,0.149219,3.787688,-3.263957,0.036859,CTRV,-0.057665,49.656375,49.474866,4.241838,75.701613,-17.741590,0.444091,8.000000,0.007866,-0.014052,-0.689256,0.000000,0.000000,0.000000,0.059418,-0.003149,0.651088,0,takeoff,,49.656375,5.037478,-2.993230,0,,,
8.945414,0.019500,0.027999,-4.129745,0.011503,-0.013866,-0.649397,48.386962,11.112824,0.150075,3.779214,-3.273765,0.018486,CTRV,-0.056192,49.805638,49.621414,4.279820,75.891317,-17.906877,0.297967,8.000000,0.011503,-0.013866,-0.649397,0.000000,0.000000,0.000000,0.055459,0.003390,0.605546,0,takeoff,,49.805638,5.026795,-2.990779,0,,,
8.995534,0.020513,0.027561,-4.151803,0.013976,-0.013656,-0.626331,48.574957,10.949075,0.150000,3.770928,-3.283306,0.000000,CTRV,-0.054758,49.953167,49.767594,4.301803,76.079395,-18.071733,0.150000,8.000000,0.013976,-0.013656,-0.626331,0.000000,0.000000,0.000000,0.062549,0.004270,0.567955,0,takeoff,,49.953167,5.019720,-2.990832,0,,,
9.045497,0.022265,0.026912,-4.181263,0.017435,-0.013591,-0.595817,48.763648,10.783900,0.149000,3.762827,-3.292588,-0.018486,CTRV,-0.053471,50.101760,49.914279,4.330263,76.262512,-18.243229,0.001108,8.000000,0.017435,-0.013591,-0.595817,0.000000,0.000000,0.000000,0.062081,0.001051,0.532325,0,takeoff,,50.101760,5.011296,-2.989584,0,,,
9.095710,0.023696,0.026397,-4.201380,0.019665,-0.013539,-0.575572,48.951003,10.619101,0.147084,3.754907,-3.301617,-0.036859,CTRV,-0.052071,50.249337,50.060830,4.348465,76.451814,-18.407285,-0.147788,8.000000,0.019665,-0.013539,-0.575572,0.000000,0.000000,0.000000,0.054157,-0.000615,0.502229,0,takeoff,,50.249337,5.005367,-2.990453,0,,,
9.144844,0.026312,0.025543,-4.231977,0.023087,-0.013463,-0.544861,49.138801,10.453130,0.144254,3.747166,-3.310400,-0.055004,CTRV,-0.050798,50.397644,50.207282,4.376231,76.636819,-18.576878,-0.295780,8.000000,0.023087,-0.013463,-0.544861,0.000000,0.000000,0.000000,0.052046,-0.000473,0.466108,0,takeoff,,50.397644,4.997851,-2.989493,0,,,
9.195415,0.028152,0.025020,-4.250167,0.025007,-0.013264,-0.526976,49.324514,10.288250,0.140562,3.739600,-3.318944,-0.072810,CTRV,-0.049448,50.544472,50.353403,4.390730,76.825374,-18.740075,-0.441921,8.000000,0.025007,-0.013264,-0.526976,0.000000,0.000000,0.000000,0.046019,0.007645,0.442463,0,takeoff,,50.544472,4.993194,-2.991091,0,,,
9.244720,0.030953,0.024265,-4.274515,0.027423,-0.013178,-0.503405,49.511564,10.121439,0.135975,3.732207,-3.327256,-0.090168,CTRV,-0.048275,50.692565,50.500334,4.410489,77.007843,-18.912080,-0.585367,8.000000,0.027423,-0.013178,-0.503405,0.000000,0.000000,0.000000,0.042659,0.003115,0.404369,0,takeoff,,50.692565,4.987915,-2.992051,0,,,
