time,uav_x,uav_y,uav_z,uav_vx,uav_vy,target_x,target_y,target_vx,target_vy,distance,intercept_x,intercept_y,t_go,uav_vz,target_z,target_vz,horizontal_distance,vertical_error,intercept_z,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason
59.692958,18.675526,352.263245,-4.998512,0.341709,7.685165,20.000000,383.380994,0.000000,5.000000,31.565514,20.000000,423.380994,8.000000,-0.000901,0.131121,0.123111,31.145924,5.129634,1.116008,0.342140,7.692395,-0.001488,0.005194,-0.000231,-0.005674,0.000302,0.011742,-0.003770,0,follow,,31.565514,2.709659,2.641260,0,,
59.742907,18.689947,352.569794,-4.998259,0.341807,7.685756,20.000000,383.630805,0.000000,5.000000,31.509807,20.000000,423.630805,8.000000,-0.000909,0.136449,0.106969,31.088626,5.134708,0.992201,0.340172,7.692482,-0.001741,-0.039366,0.001746,-0.005064,-0.000805,0.020176,0.000936,0,follow,,31.509807,2.709567,2.644134,0,,
59.793070,18.712976,353.060638,-4.997838,0.341499,7.687029,20.000000,383.881471,0.000000,5.000000,31.272789,20.000000,423.881471,8.000000,-0.000961,0.140953,0.090168,30.847693,5.138791,0.862294,0.341595,7.692419,-0.002162,0.028451,-0.001261,-0.008421,-0.004366,0.019888,0.003454,0,follow,,31.272789,2.710176,2.647276,0,,
59.842949,18.727381,353.367523,-4.997430,0.341370,7.687979,20.000000,384.131227,0.000000,5.000000,31.216425,20.000000,424.131227,8.000000,-0.000979,0.144569,0.072810,30.790015,5.142000,0.727053,0.339586,7.692508,-0.002570,-0.040177,0.001779,-0.008154,-0.002506,0.024557,-0.000978,0,follow,,31.216425,2.710574,2.650759,0,,
59.893041,18.747557,353.797272,-4.996850,0.341141,7.689245,20.000000,384.381693,0.000000,5.000000,31.039293,20.000000,424.381693,8.000000,-0.001138,0.147304,0.055004,30.610054,5.144154,0.587338,0.339860,7.692496,-0.003150,0.005483,-0.000242,-0.011606,-0.005700,0.021607,0.000445,0,follow,,31.039293,2.711378,2.654296,0,,
59.943319,18.761974,354.104340,-4.996501,0.340989,7.689863,20.000000,384.632618,0.000000,5.000000,30.983641,20.000000,424.632618,8.000000,-0.001303,0.149131,0.036859,30.553371,5.145632,0.444003,0.337761,7.692588,-0.003499,-0.041973,0.001849,-0.006981,-0.000263,0.018835,-0.006056,0,follow,,30.983641,2.711659,2.657618,0,,
59.992905,18.784967,354.595795,-4.996040,0.340617,7.691133,20.000000,384.880971,0.000000,5.000000,30.743295,20.000000,424.880971,8.000000,-0.001855,0.150022,0.018486,30.309540,5.146062,0.297914,0.339307,7.692520,-0.003960,0.030912,-0.001360,-0.009212,-0.008705,0.015199,-0.007299,0,follow,,30.743295,2.712680,2.661088,0,,
60.043066,18.799316,354.902924,-4.995728,0.340505,7.691836,20.000000,385.131042,0.000000,5.000000,30.686468,20.000000,425.131042,8.000000,-0.002185,0.150000,0.000000,30.251955,5.145728,0.150000,0.337193,7.692613,-0.004272,-0.042285,0.001859,-0.006247,-0.003375,0.015378,-0.009856,0,follow,,30.686468,2.713288,2.664586,0,,
60.092827,18.819275,355.332764,-4.995333,0.340121,7.692594,20.000000,385.379723,0.000000,5.000000,30.507026,20.000000,425.379723,8.000000,-0.002759,0.149058,-0.018486,30.070149,5.144391,0.001166,0.337563,7.692597,-0.004667,0.007400,-0.000325,-0.007906,-0.006776,0.013083,-0.011387,0,follow,,30.507026,2.714036,2.667804,0,,
60.143036,18.833399,355.639832,-4.995100,0.339826,7.693046,20.000000,385.631652,0.000000,5.000000,30.451819,20.000000,425.631652,8.000000,-0.003121,0.147183,-0.036859,30.014501,5.142282,-0.147689,0.335388,7.692692,-0.004900,-0.043494,0.001902,-0.004663,-0.006735,0.010252,-0.006917,0,follow,,30.451819,2.714611,2.671081,0,,
60.193870,18.855671,356.131256,-4.994782,0.339109,7.693456,20.000000,385.885108,0.000000,5.000000,30.216090,20.000000,425.885108,8.000000,-0.003811,0.144369,-0.055004,29.775849,5.139151,-0.295665,0.336994,7.692622,-0.005218,0.032129,-0.001404,-0.006351,-0.018194,0.004609,-0.012713,0,follow,,30.216090,2.715202,2.673801,0,,
60.242897,18.869398,356.438416,-4.994637,0.338535,7.693802,20.000000,386.130710,0.000000,5.000000,30.154318,20.000000,426.130710,8.000000,-0.004137,0.140755,-0.072810,29.713812,5.135393,-0.441728,0.335086,7.692705,-0.005363,-0.038160,0.001667,-0.002890,-0.013428,0.010292,-0.008141,0,follow,,30.154318,2.715859,2.676916,0,,
60.293092,18.883011,356.745514,-4.994440,0.337857,7.694001,20.000000,386.381509,0.000000,5.000000,30.097565,20.000000,426.381509,8.000000,-0.004405,0.136210,-0.090168,29.657037,5.130650,-0.585131,0.333008,7.692796,-0.005560,-0.041578,0.001805,-0.003958,-0.019303,0.003874,-0.004926,0,follow,,30.097565,2.716458,2.679845,0,,
60.342907,18.901905,357.175293,-4.994082,0.336822,7.694187,20.000000,386.631416,0.000000,5.000000,29.918787,20.000000,426.631416,8.000000,-0.004828,0.130839,-0.106969,29.476584,5.124922,-0.724912,0.333596,7.692770,-0.005918,0.011765,-0.000510,-0.007143,-0.015296,0.002921,-0.002523,0,follow,,29.918787,2.717081,2.682383,0,,
60.393078,18.923372,357.666290,-4.993483,0.335559,7.694139,20.000000,386.882076,0.000000,5.000000,29.680238,20.000000,426.882076,8.000000,-0.005029,0.124644,-0.123111,29.235617,5.118127,-0.860243,0.335583,7.692684,-0.006517,0.039749,-0.001729,-0.011997,-0.022691,0.001033,-0.003411,0,follow,,29.680238,2.717522,2.684514,0,,
60.443253,18.936647,357.973175,-4.993044,0.334727,7.694199,20.000000,387.132113,0.000000,5.000000,29.622525,20.000000,427.132113,8.000000,-0.005181,0.117693,-0.138494,29.178320,5.110737,-0.990256,0.333524,7.692773,-0.006956,-0.041186,0.001791,-0.008774,-0.021248,0.000676,-0.005240,0,follow,,29.622525,2.718183,2.687051,0,,
60.493367,18.955011,358.402802,-4.992487,0.333529,7.693978,20.000000,387.382581,0.000000,5.000000,29.444100,20.000000,427.382581,8.000000,-0.005455,0.110003,-0.153023,28.998614,5.102491,-1.114177,0.334295,7.692740,-0.007513,0.015428,-0.000670,-0.011129,-0.023907,-0.002086,-0.008737,0,follow,,29.444100,2.718554,2.688905,0,,
60.543125,18.968004,358.709656,-4.992107,0.332664,7.693941,20.000000,387.629915,0.000000,5.000000,29.383561,20.000000,427.629915,8.000000,-0.005846,0.101737,-0.166608,28.938666,5.093844,-1.231128,0.332362,7.692824,-0.007893,-0.038675,0.001676,-0.007610,-0.021022,-0.004858,-0.013682,0,follow,,29.383561,2.719159,2.691017,0,,
60.593812,18.988655,359.200226,-4.991521,0.331267,7.693582,20.000000,387.883323,0.000000,5.000000,29.147754,20.000000,427.883323,8.000000,-0.006490,0.092640,-0.179166,28.700921,5.084161,-1.340692,0.334584,7.692727,-0.008479,0.044449,-0.001927,-0.011721,-0.023227,-0.007192,-0.009422,0,follow,,29.147754,2.719364,2.692256,0,,
60.643384,19.001541,359.506622,-4.991293,0.330701,7.693143,20.000000,388.130937,0.000000,5.000000,29.087773,20.000000,428.130937,8.000000,-0.006955,0.083176,-0.190620,28.641723,5.074469,-1.441785,0.332593,7.692814,-0.008707,-0.039824,0.001727,-0.004549,-0.014818,-0.013292,-0.015262,0,follow,,29.087773,2.719580,2.693626,0,,
60.694660,19.019527,359.935516,-4.991216,0.329864,7.692706,20.000000,388.386654,0.000000,5.000000,28.914938,20.000000,428.386654,8.000000,-0.007692,0.072884,-0.200899,28.468027,5.064100,-1.534305,0.333287,7.692784,-0.008784,0.013882,-0.000601,-0.001545,-0.014573,-0.009149,-0.019661,0,follow,,28.914938,2.719707,2.694538,0,,
60.742742,19.032349,360.241791,-4.991345,0.329342,7.692454,20.000000,388.628781,0.000000,5.000000,28.849625,20.000000,428.628781,8.000000,-0.008236,0.062691,-0.209938,28.403478,5.054036,-1.616816,0.331463,7.692862,-0.008655,-0.036477,0.001576,0.002575,-0.011556,-0.005603,-0.009029,0,follow,,28.849625,2.720011,2.695659,0,,
