measurement_stamp,receipt_stamp,processed_stamp,published_stamp,source,valid,observation_valid,truth_available,rejection_reason,rgb_raw_stamp,depth_raw_stamp,rgb_receipt_stamp,depth_receipt_stamp,rgb_mapped_stamp,depth_mapped_stamp,rgb_depth_acquisition_skew,pose_history_start_stamp,pose_history_end_stamp,position_source_stamp,position_mapped_stamp,attitude_source_stamp,attitude_mapped_stamp,position_history_start_stamp,position_history_end_stamp,attitude_history_start_stamp,attitude_history_end_stamp,image_clock_offset,px4_clock_offset,px4_clock_reset_count,px4_clock_calibration_count,px4_clock_recalibration_count,px4_clock_status,approach_phase,distance_bin,motion_regime,confidence,red_pixel_count,valid_depth_ratio,target_range,view_angle,position_x,position_y,position_z,covariance_xx,covariance_yy,covariance_zz,truth_x,truth_y,truth_z,error_x,error_y,error_z,horizontal_error,position_3d_error,observation_age
0.0,1790079258.2458332,1790079258.2916276,1790079258.2916276,front_rgbd_red_sphere,False,False,False,IMAGE_CLOCK_UNCALIBRATED,62.5,62.552,1790079258.195853,1790079258.2458332,nan,nan,0.0519999999999996,1790079257.08754,1790079258.09954,1790079258.09954,1790079258.09954,1790079258.09954,1790079258.09954,1790079257.08354,1790079258.09954,1790079257.08754,1790079258.09954,nan,0.0,2,1,0,DIRECT_TIMESTAMP,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1790079258.3439577,1790079258.3886812,1790079258.3886812,front_rgbd_red_sphere,False,False,False,IMAGE_CLOCK_UNCALIBRATED,62.552,62.652,1790079258.2485363,1790079258.3439577,nan,nan,0.10000000000000142,1790079257.1875398,1790079258.19554,1790079258.19554,1790079258.19554,1790079258.19954,1790079258.19954,1790079257.1875398,1790079258.19554,1790079257.1875398,1790079258.19954,nan,0.0,2,1,0,DIRECT_TIMESTAMP,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1790079258.4509327,1790079258.4885929,1790079258.4885929,front_rgbd_red_sphere,False,False,False,IMAGE_CLOCK_UNCALIBRATED,62.652,62.752,1790079258.346252,1790079258.4509327,nan,nan,0.10000000000000142,1790079257.28354,1790079258.2995398,1790079258.2995398,1790079258.2995398,1790079258.2995398,1790079258.2995398,1790079257.28354,1790079258.2995398,1790079257.28354,1790079258.2995398,nan,0.0,2,1,0,DIRECT_TIMESTAMP,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1790079258.5500474,1790079258.5889719,1790079258.5889719,front_rgbd_red_sphere,False,False,False,IMAGE_CLOCK_UNCALIBRATED,62.752,62.852,1790079258.455466,1790079258.5500474,nan,nan,0.09999999999999432,1790079257.40354,1790079258.4075398,1790079258.4075398,1790079258.4075398,1790079258.4075398,1790079258.4075398,1790079257.40354,1790079258.4075398,1790079257.40354,1790079258.4075398,nan,0.0,2,1,0,DIRECT_TIMESTAMP,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1790079258.6469808,1790079258.6886046,1790079258.6886046,front_rgbd_red_sphere,False,False,False,IMAGE_CLOCK_UNCALIBRATED,62.852,62.952,1790079258.552441,1790079258.6469808,nan,nan,0.10000000000000142,1790079257.4835398,1790079258.5035398,1790079258.5035398,1790079258.5035398,1790079258.50754,1790079258.50754,1790079257.4835398,1790079258.5035398,1790079257.4835398,1790079258.50754,nan,0.0,2,1,0,DIRECT_TIMESTAMP,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1790079258.7507331,1790079258.7886333,1790079258.7886333,front_rgbd_red_sphere,False,False,False,IMAGE_CLOCK_UNCALIBRATED,62.952,63.052,1790079258.6503866,1790079258.7507331,nan,nan,0.10000000000000142,1790079257.58354,1790079258.59954,1790079258.59954,1790079258.59954,1790079258.60354,1790079258.60354,1790079257.57954,1790079258.59954,1790079257.58354,1790079258.60354,nan,0.0,2,1,0,DIRECT_TIMESTAMP,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1790079258.848917,1790079258.8886652,1790079258.8886652,front_rgbd_red_sphere,False,False,False,IMAGE_CLOCK_UNCALIBRATED,63.1,63.152,1790079258.8037374,1790079258.848917,nan,nan,0.0519999999999996,1790079257.69954,1790079258.7035398,1790079258.7035398,1790079258.7035398,1790079258.7035398,1790079258.7035398,1790079257.69954,1790079258.7035398,1790079257.6835399,1790079258.7035398,nan,0.0,2,1,0,DIRECT_TIMESTAMP,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1790079258.9452012,1790079258.9886549,1790079258.9886549,front_rgbd_red_sphere,False,False,False,IMAGE_CLOCK_UNCALIBRATED,63.2,63.252,1790079258.9095216,1790079258.9452012,nan,nan,0.0519999999999996,1790079257.78354,1790079258.7995398,1790079258.7995398,1790079258.7995398,1790079258.80354,1790079258.80354,1790079257.7795398,1790079258.7995398,1790079257.78354,1790079258.80354,nan,0.0,2,1,0,DIRECT_TIMESTAMP,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1790079259.0611858,1790079259.092736,1790079259.092736,front_rgbd_red_sphere,False,False,False,IMAGE_CLOCK_UNCALIBRATED,63.252,63.352,1790079258.9472587,1790079259.0611858,nan,nan,0.09999999999999432,1790079257.89954,1790079258.90354,1790079258.90354,1790079258.90354,1790079258.90354,1790079258.90354,1790079257.89954,1790079258.90354,1790079257.88354,1790079258.90354,nan,0.0,2,1,0,DIRECT_TIMESTAMP,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0,1790079259.1509628,1790079259.1888976,1790079259.1888976,front_rgbd_red_sphere,False,False,False,IMAGE_CLOCK_UNCALIBRATED,63.352,63.452,1790079259.0664475,1790079259.1509628,nan,nan,0.10000000000000142,1790079257.9995399,1790079258.9995399,1790079258.9995399,1790079258.9995399,1790079259.0035398,1790079259.0035398,1790079257.99554,1790079258.9995399,1790079257.9995399,1790079259.0035398,nan,0.0,2,1,0,DIRECT_TIMESTAMP,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
