measurement_stamp,receipt_stamp,processed_stamp,published_stamp,source,valid,rejection_reason,approach_phase,distance_bin,motion_regime,confidence,red_pixel_count,valid_depth_ratio,target_range,view_angle,position_x,position_y,position_z,covariance_xx,covariance_yy,covariance_zz,truth_x,truth_y,truth_z,error_x,error_y,error_z,horizontal_error,position_3d_error,observation_age
0.0,1789956408.7273288,1789956408.7558072,1789956408.7558072,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956408.7273288
0.0,1789956408.8285685,1789956408.8556006,1789956408.8556006,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956408.8285685
0.0,1789956408.9277296,1789956408.955594,1789956408.955594,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956408.9277296
0.0,1789956409.0428674,1789956409.055577,1789956409.055577,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956409.0428674
0.0,1789956409.126694,1789956409.1557825,1789956409.1557825,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956409.126694
0.0,1789956409.2304273,1789956409.2555594,1789956409.2555594,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956409.2304273
0.0,1789956409.3284369,1789956409.3555381,1789956409.3555381,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956409.3284369
0.0,1789956409.3783007,1789956409.4556599,1789956409.4556599,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956409.3783007
0.0,1789956409.5280752,1789956409.555598,1789956409.555598,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956409.5280752
0.0,1789956409.5846114,1789956409.655648,1789956409.655648,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956409.5846114
0.0,1789956409.7261207,1789956409.7556207,1789956409.7556207,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956409.7261207
0.0,1789956409.835983,1789956409.8557334,1789956409.8557334,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956409.835983
0.0,1789956409.9270248,1789956409.9556942,1789956409.9556942,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956409.9270248
0.0,1789956409.9792266,1789956410.0555923,1789956410.0555923,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956409.9792266
0.0,1789956410.1372898,1789956410.15575,1789956410.15575,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956410.1372898
0.0,1789956410.194293,1789956410.2556543,1789956410.2556543,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956410.194293
0.0,1789956410.3424735,1789956410.3557236,1789956410.3557236,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956410.3424735
0.0,1789956410.3938103,1789956410.4556653,1789956410.4556653,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956410.3938103
0.0,1789956410.5462856,1789956410.5557718,1789956410.5557718,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956410.5462856
0.0,1789956410.6448157,1789956410.6555893,1789956410.6555893,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956410.6448157
0.0,1789956410.7461739,1789956410.7556994,1789956410.7556994,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956410.7461739
0.0,1789956410.7951143,1789956410.8556383,1789956410.8556383,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956410.7951143
0.0,1789956410.94701,1789956410.955689,1789956410.955689,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956410.94701
0.0,1789956411.0497065,1789956411.0556548,1789956411.0556548,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,TERMINAL_APPROACH,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956411.0497065
0.0,1789956411.1431916,1789956411.1555736,1789956411.1555736,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,TERMINAL_APPROACH,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956411.1431916
0.0,1789956411.2526963,1789956411.2555535,1789956411.2555535,front_rgbd_red_sphere,False,RGB_DEPTH_TIME_MISMATCH,TERMINAL_APPROACH,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1789956411.2526963
