time,uav_x,uav_y,uav_z,uav_vx,uav_vy,target_x,target_y,target_vx,target_vy,distance,intercept_x,intercept_y,t_go,uav_vz,target_z,target_vz,horizontal_distance,vertical_error,intercept_z,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase
3.072680,-0.011065,-0.011111,0.000625,-0.013602,-0.000587,20.000000,24.246997,0.000000,1.000000,31.446757,20.000000,28.803007,4.556010,0.005486,0.000000,0.000000,31.446757,-0.000625,0.000000,-0.013602,-0.000587,0.005486,0.000000,0.000000,0.000000,0.005674,0.005835,-0.001905,0,takeoff
3.123165,-0.011216,-0.010454,0.001158,-0.013629,-0.000147,20.000000,24.297407,0.000000,1.000000,31.485248,20.000000,28.859372,4.561966,0.005593,0.000000,0.000000,31.485248,-0.001158,0.000000,-0.013629,-0.000147,0.005593,0.000000,0.000000,0.000000,-0.000865,0.010645,0.003252,0,takeoff
3.172817,-0.011529,-0.009448,0.001841,-0.013650,0.000487,20.000000,24.346804,0.000000,1.000000,31.522822,20.000000,28.914580,4.567776,0.005491,0.000000,0.000000,31.522822,-0.001841,0.000000,-0.013650,0.000487,0.005491,0.000000,0.000000,0.000000,-0.003394,0.011973,-0.007649,0,takeoff
3.222930,-0.011813,-0.008757,0.002295,-0.013767,0.000925,20.000000,24.396830,0.000000,1.000000,31.561137,20.000000,28.970531,4.573700,0.005700,0.000000,0.000000,31.561137,-0.002295,0.000000,-0.013767,0.000925,0.005700,0.000000,0.000000,0.000000,-0.007047,0.010714,0.007404,0,takeoff
3.272991,-0.012292,-0.007623,0.002948,-0.013885,0.001785,20.000000,24.447313,0.000000,1.000000,31.599616,20.000000,29.026959,4.579647,0.005612,0.000000,0.000000,31.599616,-0.002948,0.000000,-0.013885,0.001785,0.005612,0.000000,0.000000,0.000000,0.000432,0.012304,-0.003869,0,takeoff
3.322668,-0.012596,-0.006872,0.003244,-0.014045,0.002150,20.000000,24.496689,0.000000,1.000000,31.637454,20.000000,29.082184,4.585496,0.005427,0.000000,0.000000,31.637454,-0.003244,0.000000,-0.014045,0.002150,0.005427,0.000000,0.000000,0.000000,-0.003986,0.008615,-0.003013,0,takeoff
3.372388,-0.013001,-0.005903,0.003691,-0.014051,0.002665,20.000000,24.546488,0.000000,1.000000,31.675544,20.000000,29.137869,4.591381,0.005451,0.000000,0.000000,31.675544,-0.003691,0.000000,-0.014051,0.002665,0.005451,0.000000,0.000000,0.000000,0.000916,0.007197,-0.000175,0,takeoff
3.423154,-0.013135,-0.005332,0.004046,-0.014192,0.002925,20.000000,24.597244,0.000000,1.000000,31.714545,20.000000,29.194655,4.597411,0.005493,0.000000,0.000000,31.714544,-0.004046,0.000000,-0.014192,0.002925,0.005493,0.000000,0.000000,0.000000,0.001605,0.009035,-0.000297,0,takeoff
3.472626,-0.012929,-0.004697,0.004666,-0.014008,0.003420,20.000000,24.646888,0.000000,1.000000,31.752449,20.000000,29.250165,4.603276,0.005502,0.000000,0.000000,31.752448,-0.004666,0.000000,-0.014008,0.003420,0.005502,0.000000,0.000000,0.000000,0.006164,0.008000,-0.000909,0,takeoff
3.522619,-0.012556,-0.004439,0.005107,-0.013626,0.003441,20.000000,24.696838,0.000000,1.000000,31.790808,20.000000,29.306052,4.609214,0.005453,0.000000,0.000000,31.790808,-0.005107,0.000000,-0.013626,0.003441,0.005453,0.000000,0.000000,0.000000,0.009296,-0.000472,-0.001355,0,takeoff
